scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_original__earth_exact__N20__no_cf,100,7791,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9209828510725819,0.0939618860957364,0.0939618860957364,0.07540365491527501,1,1,1,-0.124017148927418
balkus_original__earth_exact__N20__no_cf,101,7792,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0526570669586177,0.11280079414784631,0.11280079414784631,0.04190626111447806,1,1,1,0.007657066958617786
balkus_original__earth_exact__N20__no_cf,102,7793,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1114383483468098,0.10379509502763769,0.10379509502763769,0.14549703727327157,1,1,1,0.06643834834680984
balkus_original__earth_exact__N20__no_cf,103,7794,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0498579406967876,0.10735584185724087,0.10735584185724087,0.11823103049262917,1,1,1,0.004857940696787688
balkus_original__earth_exact__N20__no_cf,104,7795,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2127177943015677,0.10829264777907718,0.10829264777907718,0.09272918077387511,1,1,1,0.16771779430156775
balkus_original__earth_exact__N20__no_cf,105,7796,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1169221709063917,0.09663715976301755,0.09663715976301755,0.08834431909561388,1,1,1,0.07192217090639175
balkus_original__earth_exact__N20__no_cf,106,7797,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0900078871976802,0.10981293774168643,0.10981293774168643,0.035983299176972926,1,1,1,0.04500788719768023
balkus_original__earth_exact__N20__no_cf,107,7798,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1281493701022272,0.09631741410304949,0.09631741410304949,0.09849304205490297,1,1,1,0.08314937010222723
balkus_original__earth_exact__N20__no_cf,108,7799,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9311036548570434,0.10831909754041642,0.10831909754041642,0.1385622859055587,1,1,1,-0.11389634514295655
balkus_original__earth_exact__N20__no_cf,109,7800,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1142367766689811,0.09342276830882303,0.09342276830882303,0.09580980382422068,1,1,1,0.0692367766689812
balkus_original__earth_exact__N20__no_cf,110,7801,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9750302927047884,0.09676097726247332,0.09676097726247332,0.06918554800854002,1,1,1,-0.06996970729521157
